Year,female,male
1971,9.44,20.6
1972,10.07,21.61
1973,10.35,22.14
1974,11.33,24.08
1975,12.36,26.07
1976,13.77,28.79
1977,14.89,30.94
1978,14.58,29.54
1979,17.06,35.4
1980,23.51,44.22
1981,27.71,50.12
1982,30.34,52.91
1983,31.7,52.65
1984,30.78,49.71
1985,29.51,45.29
1986,29.25,44.61
1987,31.16,49.01
1988,31.34,50.55
1989,30.69,47.72
1990,27.98,42.6
1991,25.23,37.9
1992,21.28,29.24
1993,17.82,25.49
1994,19.66,31.21
1995,21.8,36.38
1996,25.52,44.38
1997,29.15,51.57
1998,37.09,62.91
1999,37.6,61.27
2000,43.15,65.79
2001,49.39,71.17
2002,53,73.93
2003,54.85,74.78
2004,59.46,76.04
2005,71.91,86.15
2006,77.63,89.14
2007,83.98,94.56
2008,90.12,99.8
2009,90.07,97.25
2010,88.28,95.59
2011,90.75,98.58
2012,91.21,98.28
2014,95.82,104.34
