year,Synthetic PPR,Real PPR,"Own Children, DHSs","Own Children, Censuses"
1980,,,,6.96
1981,,,,6.79
1982,,,,6.74
1983,,,,6.77
1984,,7.01,,6.55
1985,,6.72,,6.35
1986,,6.51,6.50,6.23
1987,,6.23,6.10,5.76
1988,,6.07,5.80,5.48
1989,,5.72,5.90,5.27
1990,5.35,5.23,5.50,5.32
1991,4.84,4.54,5.10,4.90
1992,4.42,4.56,4.50,4.33
1993,3.65,3.78,4.10,3.83
1994,3.59,3.64,3.60,3.23
1995,3.31,3.29,3.20,2.79
1996,3.04,3.01,2.80,2.79
1997,2.79,2.93,2.60,2.42
1998,2.84,2.81,2.40,2.29
1999,2.59,2.54,2.30,2.24
2000,2.74,2.59,2.12,2.08
2001,2.50,2.50,1.97,2.09
2002,2.22,2.31,1.97,2.00
2003,2.20,2.32,1.94,1.94
2004,2.23,,1.92,1.89
2005,2.08,,1.81,1.80
2006,2.27,,1.91,1.84
2007,2.09,,1.91,1.78
2008,2.06,,1.88,1.78
2009,2.05,,1.87,1.84
2010,2.06,,1.88,1.80
